Model Evaluation Results - Sorted by MSE (Best to Worst)
======================================================================
Rank   Episode    MSE             Model Path
----------------------------------------------------------------------
1      117        0.245005        GAIL_117.pth
2      116        0.245635        GAIL_116.pth
3      112        0.246480        GAIL_112.pth
4      110        0.247109        GAIL_110.pth
5      109        0.247366        GAIL_109.pth
6      113        0.247464        GAIL_113.pth
7      140        0.248027        GAIL_140.pth
8      114        0.248159        GAIL_114.pth
9      126        0.249007        GAIL_126.pth
10     121        0.249035        GAIL_121.pth
11     120        0.249394        GAIL_120.pth
12     146        0.249753        GAIL_146.pth
13     139        0.249854        GAIL_139.pth
14     137        0.250375        GAIL_137.pth
15     134        0.251419        GAIL_134.pth
16     141        0.251557        GAIL_141.pth
17     118        0.251638        GAIL_118.pth
18     107        0.251702        GAIL_107.pth
19     122        0.251760        GAIL_122.pth
20     144        0.252024        GAIL_144.pth
21     128        0.252033        GAIL_128.pth
22     138        0.252204        GAIL_138.pth
23     111        0.252390        GAIL_111.pth
24     143        0.252479        GAIL_143.pth
25     125        0.252529        GAIL_125.pth
26     115        0.253070        GAIL_115.pth
27     148        0.253074        GAIL_148.pth
28     108        0.253892        GAIL_108.pth
29     135        0.254259        GAIL_135.pth
30     150        0.254327        GAIL_150.pth
31     132        0.254883        GAIL_132.pth
32     104        0.255105        GAIL_104.pth
33     123        0.255284        GAIL_123.pth
34     119        0.255609        GAIL_119.pth
35     103        0.255663        GAIL_103.pth
36     133        0.255835        GAIL_133.pth
37     136        0.255954        GAIL_136.pth
38     124        0.256069        GAIL_124.pth
39     142        0.256232        GAIL_142.pth
40     130        0.256662        GAIL_130.pth
41     152        0.256677        GAIL_152.pth
42     151        0.258522        GAIL_151.pth
43     147        0.258640        GAIL_147.pth
44     145        0.259077        GAIL_145.pth
45     131        0.259078        GAIL_131.pth
46     129        0.260019        GAIL_129.pth
47     106        0.260021        GAIL_106.pth
48     100        0.260245        GAIL_100.pth
49     127        0.262137        GAIL_127.pth
50     105        0.262296        GAIL_105.pth
51     101        0.262597        GAIL_101.pth
52     99         0.263038        GAIL_99.pth
53     156        0.263806        GAIL_156.pth
54     102        0.263946        GAIL_102.pth
55     149        0.264115        GAIL_149.pth
56     95         0.264943        GAIL_95.pth
57     154        0.266896        GAIL_154.pth
58     96         0.268130        GAIL_96.pth
59     153        0.268353        GAIL_153.pth
60     97         0.269380        GAIL_97.pth
61     98         0.269452        GAIL_98.pth
62     170        0.270174        GAIL_170.pth
63     163        0.270379        GAIL_163.pth
64     164        0.270984        GAIL_164.pth
65     169        0.271669        GAIL_169.pth
66     155        0.273312        GAIL_155.pth
67     158        0.274359        GAIL_158.pth
68     157        0.274471        GAIL_157.pth
69     93         0.275629        GAIL_93.pth
70     167        0.276106        GAIL_167.pth
71     172        0.276431        GAIL_172.pth
72     161        0.276914        GAIL_161.pth
73     160        0.278650        GAIL_160.pth
74     86         0.278998        GAIL_86.pth
75     171        0.279020        GAIL_171.pth
76     168        0.279281        GAIL_168.pth
77     94         0.279690        GAIL_94.pth
78     159        0.279735        GAIL_159.pth
79     162        0.279814        GAIL_162.pth
80     92         0.281105        GAIL_92.pth
81     89         0.281400        GAIL_89.pth
82     85         0.282290        GAIL_85.pth
83     88         0.283425        GAIL_88.pth
84     90         0.283738        GAIL_90.pth
85     166        0.284166        GAIL_166.pth
86     83         0.285021        GAIL_83.pth
87     91         0.285060        GAIL_91.pth
88     84         0.285650        GAIL_84.pth
89     332        0.285774        GAIL_332.pth
90     333        0.285835        GAIL_333.pth
91     165        0.285848        GAIL_165.pth
92     336        0.287014        GAIL_336.pth
93     331        0.287874        GAIL_331.pth
94     87         0.289025        GAIL_87.pth
95     182        0.289279        GAIL_182.pth
96     346        0.289490        GAIL_346.pth
97     363        0.289551        GAIL_363.pth
98     330        0.289753        GAIL_330.pth
99     192        0.291346        GAIL_192.pth
100    181        0.291671        GAIL_181.pth
101    180        0.291790        GAIL_180.pth
102    366        0.291936        GAIL_366.pth
103    184        0.292056        GAIL_184.pth
104    179        0.292395        GAIL_179.pth
105    335        0.292808        GAIL_335.pth
106    194        0.292889        GAIL_194.pth
107    174        0.293161        GAIL_174.pth
108    364        0.293240        GAIL_364.pth
109    362        0.293318        GAIL_362.pth
110    374        0.294281        GAIL_374.pth
111    360        0.294452        GAIL_360.pth
112    359        0.294521        GAIL_359.pth
113    193        0.294661        GAIL_193.pth
114    329        0.294830        GAIL_329.pth
115    334        0.294872        GAIL_334.pth
116    341        0.294987        GAIL_341.pth
117    189        0.295325        GAIL_189.pth
118    378        0.295414        GAIL_378.pth
119    372        0.295773        GAIL_372.pth
120    361        0.296019        GAIL_361.pth
121    371        0.296277        GAIL_371.pth
122    173        0.296343        GAIL_173.pth
123    373        0.296413        GAIL_373.pth
124    339        0.296634        GAIL_339.pth
125    327        0.296640        GAIL_327.pth
126    377        0.296735        GAIL_377.pth
127    178        0.296872        GAIL_178.pth
128    345        0.296933        GAIL_345.pth
129    337        0.296937        GAIL_337.pth
130    222        0.297141        GAIL_222.pth
131    340        0.297780        GAIL_340.pth
132    207        0.297823        GAIL_207.pth
133    328        0.298134        GAIL_328.pth
134    368        0.298245        GAIL_368.pth
135    197        0.298391        GAIL_197.pth
136    191        0.298423        GAIL_191.pth
137    220        0.298431        GAIL_220.pth
138    343        0.298492        GAIL_343.pth
139    208        0.298586        GAIL_208.pth
140    228        0.298800        GAIL_228.pth
141    195        0.299032        GAIL_195.pth
142    204        0.299063        GAIL_204.pth
143    82         0.299130        GAIL_82.pth
144    224        0.299184        GAIL_224.pth
145    369        0.299510        GAIL_369.pth
146    183        0.299569        GAIL_183.pth
147    379        0.299654        GAIL_379.pth
148    375        0.299746        GAIL_375.pth
149    198        0.299825        GAIL_198.pth
150    344        0.300242        GAIL_344.pth
151    199        0.300345        GAIL_199.pth
152    81         0.300517        GAIL_81.pth
153    79         0.300581        GAIL_79.pth
154    223        0.300601        GAIL_223.pth
155    80         0.300618        GAIL_80.pth
156    326        0.300655        GAIL_326.pth
157    206        0.300659        GAIL_206.pth
158    365        0.300785        GAIL_365.pth
159    325        0.300903        GAIL_325.pth
160    219        0.301067        GAIL_219.pth
161    338        0.301161        GAIL_338.pth
162    227        0.301248        GAIL_227.pth
163    324        0.301279        GAIL_324.pth
164    217        0.301370        GAIL_217.pth
165    185        0.301561        GAIL_185.pth
166    176        0.301722        GAIL_176.pth
167    201        0.301994        GAIL_201.pth
168    202        0.302007        GAIL_202.pth
169    200        0.302603        GAIL_200.pth
170    187        0.302614        GAIL_187.pth
171    213        0.302815        GAIL_213.pth
172    221        0.302851        GAIL_221.pth
173    370        0.303259        GAIL_370.pth
174    376        0.303316        GAIL_376.pth
175    175        0.303521        GAIL_175.pth
176    323        0.303617        GAIL_323.pth
177    186        0.303640        GAIL_186.pth
178    321        0.303697        GAIL_321.pth
179    358        0.303786        GAIL_358.pth
180    215        0.303791        GAIL_215.pth
181    306        0.303900        GAIL_306.pth
182    218        0.303952        GAIL_218.pth
183    355        0.304533        GAIL_355.pth
184    210        0.304788        GAIL_210.pth
185    203        0.304928        GAIL_203.pth
186    77         0.305003        GAIL_77.pth
187    226        0.305354        GAIL_226.pth
188    303        0.305475        GAIL_303.pth
189    342        0.305545        GAIL_342.pth
190    190        0.305747        GAIL_190.pth
191    205        0.305895        GAIL_205.pth
192    188        0.306009        GAIL_188.pth
193    348        0.306619        GAIL_348.pth
194    211        0.306634        GAIL_211.pth
195    350        0.306687        GAIL_350.pth
196    214        0.306727        GAIL_214.pth
197    177        0.306856        GAIL_177.pth
198    356        0.306874        GAIL_356.pth
199    305        0.306953        GAIL_305.pth
200    322        0.306958        GAIL_322.pth
201    357        0.307269        GAIL_357.pth
202    380        0.307308        GAIL_380.pth
203    304        0.307691        GAIL_304.pth
204    352        0.307841        GAIL_352.pth
205    353        0.307921        GAIL_353.pth
206    367        0.307926        GAIL_367.pth
207    232        0.307984        GAIL_232.pth
208    196        0.307997        GAIL_196.pth
209    319        0.308215        GAIL_319.pth
210    302        0.308440        GAIL_302.pth
211    209        0.308907        GAIL_209.pth
212    354        0.309587        GAIL_354.pth
213    212        0.309644        GAIL_212.pth
214    225        0.309787        GAIL_225.pth
215    349        0.310344        GAIL_349.pth
216    229        0.310574        GAIL_229.pth
217    230        0.310621        GAIL_230.pth
218    78         0.310720        GAIL_78.pth
219    516        0.310812        GAIL_516.pth
220    264        0.310878        GAIL_264.pth
221    216        0.311038        GAIL_216.pth
222    259        0.311099        GAIL_259.pth
223    351        0.311320        GAIL_351.pth
224    313        0.311520        GAIL_313.pth
225    347        0.311621        GAIL_347.pth
226    260        0.312039        GAIL_260.pth
227    307        0.312180        GAIL_307.pth
228    320        0.312250        GAIL_320.pth
229    308        0.312258        GAIL_308.pth
230    75         0.312579        GAIL_75.pth
231    547        0.312625        GAIL_547.pth
232    551        0.312852        GAIL_551.pth
233    316        0.313228        GAIL_316.pth
234    234        0.313506        GAIL_234.pth
235    257        0.313773        GAIL_257.pth
236    548        0.315138        GAIL_548.pth
237    314        0.315244        GAIL_314.pth
238    546        0.315664        GAIL_546.pth
239    263        0.316027        GAIL_263.pth
240    309        0.316101        GAIL_309.pth
241    550        0.316564        GAIL_550.pth
242    258        0.316856        GAIL_258.pth
243    520        0.317146        GAIL_520.pth
244    312        0.317166        GAIL_312.pth
245    301        0.317180        GAIL_301.pth
246    424        0.317311        GAIL_424.pth
247    317        0.317655        GAIL_317.pth
248    315        0.317667        GAIL_315.pth
249    238        0.317689        GAIL_238.pth
250    311        0.318074        GAIL_311.pth
251    549        0.318172        GAIL_549.pth
252    381        0.318321        GAIL_381.pth
253    420        0.318388        GAIL_420.pth
254    300        0.318525        GAIL_300.pth
255    240        0.318589        GAIL_240.pth
256    76         0.318628        GAIL_76.pth
257    510        0.318685        GAIL_510.pth
258    310        0.318722        GAIL_310.pth
259    515        0.318891        GAIL_515.pth
260    318        0.318957        GAIL_318.pth
261    233        0.319271        GAIL_233.pth
262    543        0.319335        GAIL_543.pth
263    382        0.319336        GAIL_382.pth
264    280        0.319447        GAIL_280.pth
265    545        0.319572        GAIL_545.pth
266    262        0.319663        GAIL_262.pth
267    468        0.319734        GAIL_468.pth
268    557        0.319760        GAIL_557.pth
269    524        0.319822        GAIL_524.pth
270    544        0.320227        GAIL_544.pth
271    386        0.320258        GAIL_386.pth
272    237        0.320513        GAIL_237.pth
273    419        0.320719        GAIL_419.pth
274    235        0.321037        GAIL_235.pth
275    512        0.321068        GAIL_512.pth
276    517        0.321184        GAIL_517.pth
277    245        0.321303        GAIL_245.pth
278    519        0.321486        GAIL_519.pth
279    523        0.321503        GAIL_523.pth
280    467        0.321525        GAIL_467.pth
281    231        0.321798        GAIL_231.pth
282    236        0.321832        GAIL_236.pth
283    384        0.321975        GAIL_384.pth
284    507        0.322235        GAIL_507.pth
285    385        0.322301        GAIL_385.pth
286    463        0.322308        GAIL_463.pth
287    265        0.322531        GAIL_265.pth
288    508        0.322838        GAIL_508.pth
289    433        0.322942        GAIL_433.pth
290    518        0.323018        GAIL_518.pth
291    511        0.323211        GAIL_511.pth
292    383        0.323238        GAIL_383.pth
293    286        0.323406        GAIL_286.pth
294    509        0.323574        GAIL_509.pth
295    522        0.323676        GAIL_522.pth
296    403        0.323732        GAIL_403.pth
297    269        0.323827        GAIL_269.pth
298    388        0.323959        GAIL_388.pth
299    539        0.324273        GAIL_539.pth
300    521        0.324443        GAIL_521.pth
301    530        0.324535        GAIL_530.pth
302    398        0.324550        GAIL_398.pth
303    553        0.325102        GAIL_553.pth
304    460        0.325174        GAIL_460.pth
305    554        0.325321        GAIL_554.pth
306    422        0.325332        GAIL_422.pth
307    261        0.325450        GAIL_261.pth
308    421        0.325482        GAIL_421.pth
309    395        0.325644        GAIL_395.pth
310    243        0.325682        GAIL_243.pth
311    266        0.325752        GAIL_266.pth
312    538        0.325872        GAIL_538.pth
313    393        0.325976        GAIL_393.pth
314    402        0.326089        GAIL_402.pth
315    396        0.326175        GAIL_396.pth
316    464        0.326219        GAIL_464.pth
317    406        0.326225        GAIL_406.pth
318    426        0.326249        GAIL_426.pth
319    394        0.326432        GAIL_394.pth
320    435        0.326668        GAIL_435.pth
321    540        0.326733        GAIL_540.pth
322    416        0.326807        GAIL_416.pth
323    445        0.326876        GAIL_445.pth
324    552        0.326882        GAIL_552.pth
325    537        0.326912        GAIL_537.pth
326    397        0.327036        GAIL_397.pth
327    299        0.327065        GAIL_299.pth
328    434        0.327183        GAIL_434.pth
329    73         0.327305        GAIL_73.pth
330    297        0.327379        GAIL_297.pth
331    404        0.327389        GAIL_404.pth
332    405        0.327462        GAIL_405.pth
333    525        0.327564        GAIL_525.pth
334    298        0.327652        GAIL_298.pth
335    423        0.327704        GAIL_423.pth
336    391        0.327789        GAIL_391.pth
337    474        0.327982        GAIL_474.pth
338    285        0.328011        GAIL_285.pth
339    412        0.328317        GAIL_412.pth
340    527        0.328384        GAIL_527.pth
341    427        0.328417        GAIL_427.pth
342    528        0.328517        GAIL_528.pth
343    401        0.328615        GAIL_401.pth
344    505        0.328700        GAIL_505.pth
345    392        0.328721        GAIL_392.pth
346    283        0.328744        GAIL_283.pth
347    506        0.328768        GAIL_506.pth
348    242        0.328791        GAIL_242.pth
349    246        0.329083        GAIL_246.pth
350    272        0.329098        GAIL_272.pth
351    563        0.329125        GAIL_563.pth
352    273        0.329197        GAIL_273.pth
353    558        0.329233        GAIL_558.pth
354    74         0.329293        GAIL_74.pth
355    556        0.329429        GAIL_556.pth
356    470        0.329483        GAIL_470.pth
357    465        0.329679        GAIL_465.pth
358    413        0.329695        GAIL_413.pth
359    712        0.329707        GAIL_712.pth
360    526        0.329768        GAIL_526.pth
361    429        0.329820        GAIL_429.pth
362    389        0.329952        GAIL_389.pth
363    241        0.329998        GAIL_241.pth
364    279        0.330010        GAIL_279.pth
365    542        0.330027        GAIL_542.pth
366    541        0.330095        GAIL_541.pth
367    270        0.330195        GAIL_270.pth
368    679        0.330366        GAIL_679.pth
369    267        0.330373        GAIL_267.pth
370    399        0.330390        GAIL_399.pth
371    271        0.330405        GAIL_271.pth
372    564        0.330447        GAIL_564.pth
373    268        0.330511        GAIL_268.pth
374    536        0.330759        GAIL_536.pth
375    387        0.330799        GAIL_387.pth
376    410        0.330845        GAIL_410.pth
377    529        0.330850        GAIL_529.pth
378    287        0.330915        GAIL_287.pth
379    415        0.331110        GAIL_415.pth
380    296        0.331148        GAIL_296.pth
381    251        0.331195        GAIL_251.pth
382    680        0.331225        GAIL_680.pth
383    513        0.331349        GAIL_513.pth
384    448        0.331516        GAIL_448.pth
385    414        0.331573        GAIL_414.pth
386    430        0.331669        GAIL_430.pth
387    672        0.331825        GAIL_672.pth
388    447        0.331843        GAIL_447.pth
389    409        0.331874        GAIL_409.pth
390    533        0.331923        GAIL_533.pth
391    295        0.331965        GAIL_295.pth
392    239        0.332051        GAIL_239.pth
393    711        0.332186        GAIL_711.pth
394    503        0.332201        GAIL_503.pth
395    455        0.332240        GAIL_455.pth
396    466        0.332387        GAIL_466.pth
397    288        0.332462        GAIL_288.pth
398    407        0.332546        GAIL_407.pth
399    471        0.332595        GAIL_471.pth
400    282        0.332644        GAIL_282.pth
401    469        0.332706        GAIL_469.pth
402    535        0.332830        GAIL_535.pth
403    532        0.332868        GAIL_532.pth
404    418        0.332983        GAIL_418.pth
405    477        0.333042        GAIL_477.pth
406    244        0.333096        GAIL_244.pth
407    677        0.333113        GAIL_677.pth
408    457        0.333218        GAIL_457.pth
409    452        0.333392        GAIL_452.pth
410    555        0.333399        GAIL_555.pth
411    583        0.333693        GAIL_583.pth
412    764        0.333894        GAIL_764.pth
413    425        0.333973        GAIL_425.pth
414    514        0.334077        GAIL_514.pth
415    763        0.334277        GAIL_763.pth
416    252        0.334279        GAIL_252.pth
417    451        0.334300        GAIL_451.pth
418    560        0.334303        GAIL_560.pth
419    504        0.334378        GAIL_504.pth
420    411        0.334475        GAIL_411.pth
421    446        0.334617        GAIL_446.pth
422    293        0.334634        GAIL_293.pth
423    472        0.334768        GAIL_472.pth
424    432        0.335089        GAIL_432.pth
425    291        0.335147        GAIL_291.pth
426    456        0.335165        GAIL_456.pth
427    277        0.335227        GAIL_277.pth
428    462        0.335364        GAIL_462.pth
429    476        0.335373        GAIL_476.pth
430    710        0.335410        GAIL_710.pth
431    72         0.335440        GAIL_72.pth
432    275        0.335456        GAIL_275.pth
433    678        0.335594        GAIL_678.pth
434    566        0.335606        GAIL_566.pth
435    559        0.335735        GAIL_559.pth
436    771        0.336022        GAIL_771.pth
437    400        0.336354        GAIL_400.pth
438    278        0.336366        GAIL_278.pth
439    568        0.336457        GAIL_568.pth
440    473        0.336576        GAIL_473.pth
441    431        0.336585        GAIL_431.pth
442    276        0.336825        GAIL_276.pth
443    459        0.336901        GAIL_459.pth
444    561        0.336951        GAIL_561.pth
